function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
12;sobel;sobel_v1;sobel.c:113-143;56.44;11.24;;;;;;"100,0,0,0,0,0,0,0,0,0";
1;sobel;main;mm_malloc.h:45-54,sobel.c:21-399,rdtsc.h:9-11,stdio2.h:100-297;28.16;5.61;;;;;;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;15.29;3.04;;;;;;"0,0,0,0,92.971945480034,7.0280545199657,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.04;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
496;libc-2.31.so;_IO_file_write;;0.02;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
308;libc-2.31.so;vprintf;;0.02;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
1019;libc-2.31.so;__write;;0.01;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
1018;libc-2.31.so;__read;;0.01;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
550;libc-2.31.so;__libc_alloca_cutoff;;0.01;0;;;;;;"0,0,0,0,0,0,0,0,100,0";
507;libc-2.31.so;_IO_file_overflow;;0.01;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
506;libc-2.31.so;_IO_file_underflow;;0.01;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
498;libc-2.31.so;_IO_file_xsputn;;0.01;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
299;libc-2.31.so;swapcontext;;0.01;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
0;sobel;Unknown function;;0.01;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
