block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
56;sobel;sobel.c:64-65;55.3;37.19;;;;;;;
65;sobel;sobel.c:89-91;8.48;5.7;;;;;;;
58;sobel;sobel.c:67-68;5.94;3.99;;;;;;;
66;sobel;sobel.c:91-93;4.74;3.19;;;;;;;
67;sobel;sobel.c:93-93;4.56;3.06;;;;;;;
46;sobel;sobel.c:21-30;4.12;2.77;;;;;;;
55;sobel;sobel.c:64-64;2.42;1.63;;;;;;;
69;sobel;sobel.c:86-93;1.15;0.77;;;;;;;
52;sobel;sobel.c:60-63;0.88;0.59;;;;;;;
63;sobel;sobel.c:88-88;0.87;0.59;;;;;;;
64;sobel;sobel.c:88-89;0.76;0.51;;;;;;;
54;sobel;sobel.c:64-64;0.66;0.44;;;;;;;
53;sobel;sobel.c:63-63;0.21;0.14;;;;;;;
45;sobel;sobel.c:21-21;0.06;0.04;;;;;;;
68;sobel;sobel.c:93-93;0.06;0.04;;;;;;;
62;sobel;sobel.c:86-86;0.05;0.03;;;;;;;
129;sobel;common.c:10-10;0;0;;;;;;;
